Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.05,-2.2,0.0,top
C10,2.85,-4.075,270.0,bottom
C11,-1.2,-3.55,90.0,top
C12,-5.4,0.6,90.0,top
C13,-6.4,0.5,90.0,top
C14,-3.85,3.7,0.0,bottom
C15,-2.55,4.9,90.0,bottom
C16,3.8,4.4,90.0,bottom
C17,2.65,4.6,90.0,bottom
C18,1.8,-2.2,90.0,top
C2,3.875,1.5,270.0,bottom
C3,-2.95,-1.3,270.0,top
C4,-3.85,2.35,90.0,bottom
C5,-1.4,-1.1,0.0,top
C6,1.6,3.075,180.0,top
C7,3.6,3.0,0.0,top
C8,0.85,-2.15,90.0,top
C9,3.925,-4.025,270.0,bottom
D1,-4.525,-4.275,135.0,top
IC1,2.15,0.7,0.0,top
M1,-5.53,2.925167,90.0,top
M2,-4.05,4.9,90.0,top
R1,-3.25,-4.475,90.0,bottom
R2,4.375,1.575,90.0,top
R3,5.2,0.9,90.0,top
R4,4.375,0.15,90.0,top
U1,0.0,0.0,0.0,bottom
U2,-2.45,1.7,90.0,top
U3,0.0,-5.0,0.0,top
U4,0.075,-4.5,180.0,bottom
U5,-4.55,-1.6,0.0,top
U6,0.0,5.0,180.0,top
U7,0.125,4.95,0.0,bottom
